,M
1191,-351
1192,-1517
1193,-2676
1194,-3821
1195,-4947
1196,-6047
1197,-7117
1198,-8151
1199,-9144
1200,-10090
1201,-10985
1202,-11824
1203,-12603
1204,-13319
1205,-13966
1206,-14543
1207,-15046
1208,-15473
1209,-15821
1210,-16089
1211,-16276
1212,-16380
1213,-16401
1214,-16338
1215,-16193
1216,-15966
1217,-15657
1218,-15270
1219,-14804
1220,-14264
1221,-13651
1222,-12969
1223,-12221
1224,-11411
1225,-10544
1226,-9623
1227,-8653
1228,-7639
1229,-6586
1230,-5500
1231,-4386
1232,-3250
1233,-2097
1234,-934
1235,234
1236,1401
1237,2561
1238,3707
1239,4835
1240,5939
1241,7012
1242,8050
1243,9047
1244,9998
1245,10898
1246,11743
1247,12528
1248,13250
1249,13905
1250,14489
1251,15000
1252,15434
1253,15791
1254,16067
1255,16262
1256,16373
1257,16403
1258,16348
1259,16212
1260,15992
1261,15692
1262,15312
1263,14855
1264,14322
1265,13716
1266,13040
1267,12299
1268,11496
1269,10633
1270,9717
1271,8752
1272,7742
1273,6694
1274,5610
1275,4499
1276,3365
1277,2214
1278,1051
1279,-117
1280,-1284
1281,-2445
1282,-3593
1283,-4723
1284,-5829
1285,-6906
1286,-7947
1287,-8948
1288,-9904
1289,-10810
1290,-11661
1291,-12452
1292,-13181
1293,-13842
1294,-14434
1295,-14952
1296,-15394
1297,-15758
1298,-16042
1299,-16245
1300,-16366
1301,-16403
1302,-16357
1303,-16229
1304,-16018
1305,-15725
1306,-15353
1307,-14903
1308,-14378
1309,-13779
1310,-13111
1311,-12376
1312,-11578
1313,-10722
1314,-9811
1315,-8851
1316,-7845
1317,-6800
1318,-5720
1319,-4611
1320,-3479
1321,-2329
1322,-1168
1323,0
1324,1168
1325,2329
1326,3479
1327,4611
1328,5720
1329,6800
1330,7845
1331,8851
1332,9811
1333,10722
1334,11578
1335,12376
1336,13111
1337,13779
1338,14378
1339,14903
1340,15354
1341,15726
1342,16018
1343,16229
1344,16358
1345,16404
1346,16366
1347,16246
1348,16043
1349,15759
1350,15394
1351,14952
1352,14434
1353,13843
1354,13181
1355,12453
1356,11661
1357,10810
1358,9905
1359,8949
1360,7947
1361,6906
1362,5829
1363,4723
1364,3593
1365,2445
1366,1284
1367,117
1368,-1051
1369,-2213
1370,-3364
1371,-4499
1372,-5610
1373,-6693
1374,-7742
1375,-8752
1376,-9717
1377,-10633
1378,-11495
1379,-12299
1380,-13040
1381,-13716
1382,-14321
1383,-14854
1384,-15312
1385,-15692
1386,-15992
1387,-16211
1388,-16348
1389,-16403
1390,-16373
1391,-16261
1392,-16067
1393,-15790
1394,-15434
1395,-14999
1396,-14489
1397,-13905
1398,-13250
1399,-12528
1400,-11742
1401,-10897
1402,-9997
1403,-9046
1404,-8049
1405,-7012
1406,-5938
1407,-4835
1408,-3707
1409,-2560
1410,-1400
1411,-234
1412,934
1413,2098
1414,3251
1415,4387
1416,5500
1417,6587
1418,7639
1419,8653
1420,9623
1421,10544
1422,11412
1423,12222
1424,12969
1425,13651
1426,14264
1427,14804
1428,15270
1429,15657
1430,15966
1431,16193
1432,16339
1433,16401
1434,16380
1435,16276
1436,16090
1437,15822
1438,15474
1439,15047
1440,14543
1441,13966
1442,13319
1443,12604
1444,11824
1445,10985
1446,10090
1447,9144
1448,8151
1449,7117
1450,6047
1451,4947
1452,3821
1453,2676
1454,1517
1455,351
1456,-817
1457,-1982
1458,-3135
1459,-4274
1460,-5390
1461,-6479
1462,-7535
1463,-8553
1464,-9528
1465,-10454
1466,-11327
1467,-12143
1468,-12897
1469,-13586
1470,-14206
1471,-14753
1472,-15227
1473,-15622
1474,-15939
1475,-16174
1476,-16327
1477,-16398
1478,-16386
1479,-16290
1480,-16112
1481,-15852
1482,-15511
1483,-15093
1484,-14597
1485,-14027
1486,-13387
1487,-12678
1488,-11904
1489,-11071
1490,-10182
1491,-9240
1492,-8252
1493,-7222
1494,-6156
1495,-5058
1496,-3934
1497,-2791
1498,-1633
1499,-467
1500,701
1501,1866
1502,3021
1503,4161
1504,5280
1505,6372
1506,7432
1507,8454
1508,9433
1509,10364
1510,11243
1511,12065
1512,12825
1513,13520
1514,14147
1515,14702
1516,15183
1517,15586
1518,15911
1519,16155
1520,16316
1521,16395
1522,16391
1523,16304
1524,16134
1525,15882
1526,15549
1527,15138
1528,14650
1529,14088
1530,13454
1531,12752
1532,11985
1533,11157
1534,10273
1535,9337
1536,8353
1537,7327
1538,6264
1539,5169
1540,4048
1541,2906
1542,1749
1543,584
1544,-584
1545,-1749
1546,-2906
1547,-4048
1548,-5169
1549,-6264
1550,-7327
1551,-8353
1552,-9337
1553,-10273
1554,-11157
1555,-11985
1556,-12752
1557,-13454
1558,-14088
1559,-14650
1560,-15138
1561,-15549
1562,-15881
1563,-16133
1564,-16304
1565,-16391
1566,-16395
1567,-16316
1568,-16154
1569,-15911
1570,-15586
1571,-15183
1572,-14702
1573,-14147
1574,-13520
1575,-12825
1576,-12064
1577,-11243
1578,-10364
1579,-9433
1580,-8453
1581,-7431
1582,-6372
1583,-5279
1584,-4161
1585,-3021
1586,-1865
1587,-701
1588,467
1589,1634
1590,2791
1591,3934
1592,5058
1593,6156
1594,7223
1595,8252
1596,9240
1597,10182
