,M=100Hz,M=200Hz,M=500Hz
12933,14543,-13454,-12143
12934,14434,-13716,-12897
12935,14322,-13966,-13586
12936,14206,-14206,-14206
12937,14088,-14434,-14753
12938,13967,-14650,-15227
12939,13842,-14854,-15622
12940,13716,-15046,-15939
12941,13586,-15226,-16174
12942,13454,-15394,-16327
12943,13319,-15549,-16398
12944,13181,-15692,-16386
12945,13040,-15822,-16290
12946,12898,-15938,-16112
12947,12752,-16042,-15852
12948,12603,-16134,-15511
12949,12453,-16211,-15092
12950,12299,-16276,-14597
12951,12143,-16328,-14027
12952,11985,-16366,-13387
12953,11824,-16391,-12678
12954,11661,-16403,-11905
12955,11495,-16401,-11071
12956,11327,-16386,-10181
12957,11157,-16357,-9240
12958,10985,-16316,-8252
12959,10810,-16261,-7222
12960,10633,-16193,-6156
12961,10454,-16112,-5058
12962,10273,-16018,-3934
12963,10090,-15911,-2791
12964,9905,-15790,-1633
12965,9717,-15657,-467
12966,9528,-15511,701
12967,9337,-15353,1866
12968,9144,-15183,3021
12969,8949,-14999,4161
12970,8752,-14804,5280
12971,8553,-14597,6372
12972,8353,-14378,7431
12973,8151,-14147,8454
12974,7947,-13905,9433
12975,7742,-13651,10364
12976,7536,-13387,11243
12977,7327,-13111,12065
12978,7117,-12825,12825
12979,6906,-12528,13520
12980,6693,-12221,14147
12981,6479,-11905,14702
12982,6264,-11578,15183
12983,6047,-11243,15586
12984,5829,-10898,15911
12985,5611,-10544,16154
12986,5390,-10181,16316
12987,5169,-9811,16395
12988,4947,-9432,16391
12989,4723,-9046,16304
12990,4499,-8653,16134
12991,4274,-8252,15882
12992,4048,-7845,15550
12993,3821,-7431,15138
12994,3593,-7012,14650
12995,3365,-6586,14088
12996,3136,-6156,13454
12997,2906,-5720,12752
12998,2676,-5280,11985
12999,2445,-4835,11157
13000,2213,-4386,10273
13001,1982,-3934,9337
13002,1749,-3479,8353
13003,1517,-3021,7327
13004,1284,-2560,6264
13005,1051,-2097,5169
13006,818,-1633,4048
13007,584,-1168,2906
13008,351,-701,1749
13009,117,-234,584
13010,-117,234,-584
13011,-351,701,-1749
13012,-584,1168,-2906
13013,-818,1633,-4047
13014,-1051,2098,-5169
13015,-1284,2560,-6264
13016,-1517,3021,-7327
13017,-1749,3479,-8353
13018,-1981,3934,-9336
13019,-2213,4387,-10273
13020,-2445,4835,-11157
13021,-2675,5280,-11985
13022,-2906,5720,-12752
13023,-3135,6156,-13454
13024,-3364,6586,-14087
13025,-3593,7012,-14650
13026,-3821,7432,-15138
13027,-4048,7845,-15549
13028,-4274,8252,-15881
13029,-4499,8653,-16133
13030,-4723,9047,-16303
13031,-4947,9433,-16391
13032,-5169,9811,-16395
13033,-5390,10182,-16316
13034,-5610,10544,-16154
13035,-5829,10898,-15911
13036,-6047,11243,-15586
13037,-6264,11579,-15182
13038,-6479,11905,-14702
13039,-6693,12222,-14147
13040,-6906,12528,-13520
13041,-7117,12825,-12825
13042,-7327,13111,-12064
13043,-7535,13387,-11242
13044,-7742,13651,-10364
13045,-7947,13905,-9432
13046,-8151,14147,-8453
13047,-8353,14378,-7431
13048,-8553,14597,-6371
13049,-8752,14805,-5280
13050,-8949,15000,-4161
13051,-9144,15183,-3021
13052,-9337,15354,-1865
13053,-9528,15512,-701
13054,-9717,15657,468
13055,-9905,15790,1634
13056,-10090,15911,2791
13057,-10273,16018,3935
13058,-10454,16112,5058
13059,-10633,16193,6156
13060,-10810,16261,7222
13061,-10985,16316,8252
13062,-11157,16358,9241
13063,-11327,16386,10182
13064,-11495,16401,11071
13065,-11661,16403,11905
13066,-11824,16391,12678
13067,-11985,16366,13387
13068,-12143,16328,14028
13069,-12299,16276,14597
13070,-12452,16212,15093
13071,-12603,16134,15512
13072,-12752,16043,15852
13073,-12897,15939,16112
13074,-13040,15822,16290
13075,-13181,15692,16386
13076,-13318,15549,16399
13077,-13453,15394,16328
13078,-13586,15227,16174
13079,-13715,15046,15939
13080,-13842,14854,15622
13081,-13966,14650,15227
13082,-14087,14434,14754
13083,-14206,14206,14206
13084,-14321,13967,13586
13085,-14434,13716,12898
13086,-14543,13454,12143
13087,-14650,13181,11327
13088,-14754,12897,10454
13089,-14854,12603,9528
13090,-14952,12299,8553
13091,-15046,11985,7536
13092,-15138,11661,6479
13093,-15226,11328,5390
13094,-15312,10985,4274
13095,-15394,10633,3136
13096,-15473,10273,1982
13097,-15549,9905,818
13098,-15622,9528,-350
13099,-15692,9144,-1517
13100,-15758,8752,-2676
13101,-15822,8353,-3821
13102,-15882,7947,-4947
13103,-15939,7536,-6047
13104,-15992,7117,-7117
13105,-16042,6693,-8151
13106,-16090,6264,-9143
13107,-16134,5829,-10090
13108,-16174,5390,-10985
13109,-16211,4947,-11824
13110,-16245,4499,-12603
13111,-16276,4048,-13318
13112,-16304,3593,-13966
13113,-16328,3136,-14543
13114,-16348,2676,-15046
13115,-16366,2214,-15473
13116,-16380,1749,-15822
13117,-16391,1284,-16090
13118,-16398,818,-16276
13119,-16402,351,-16380
13120,-16403,-117,-16401
13121,-16401,-584,-16339
13122,-16395,-1051,-16193
13123,-16386,-1517,-15966
13124,-16373,-1982,-15657
13125,-16357,-2445,-15270
13126,-16339,-2906,-14804
13127,-16316,-3364,-14264
13128,-16290,-3821,-13651
13129,-16261,-4274,-12969
13130,-16229,-4723,-12221
13131,-16193,-5169,-11411
13132,-16154,-5610,-10544
13133,-16112,-6047,-9623
13134,-16067,-6479,-8653
13135,-16018,-6906,-7639
13136,-15966,-7327,-6586
13137,-15910,-7742,-5500
13138,-15852,-8151,-4386
13139,-15790,-8553,-3250
13140,-15725,-8948,-2098
13141,-15657,-9336,-934
13142,-15586,-9717,234
13143,-15511,-10090,1401
13144,-15434,-10454,2561
13145,-15353,-10810,3707
13146,-15269,-11157,4835
13147,-15182,-11495,5938
13148,-15092,-11824,7012
13149,-14999,-12143,8050
13150,-14903,-12452,9047
13151,-14804,-12752,9997
13152,-14702,-13040,10898
13153,-14597,-13318,11743
13154,-14489,-13586,12528
13155,-14378,-13842,13250
13156,-14264,-14088,13905
13157,-14147,-14321,14489
13158,-14027,-14543,15000
13159,-13905,-14753,15434
13160,-13779,-14952,15791
13161,-13651,-15138,16067
13162,-13520,-15312,16262
13163,-13387,-15473,16373
13164,-13250,-15622,16403
13165,-13111,-15758,16349
13166,-12969,-15881,16211
13167,-12825,-15992,15992
13168,-12678,-16090,15692
13169,-12528,-16174,15312
13170,-12376,-16245,14855
13171,-12221,-16303,14321
13172,-12064,-16348,13716
13173,-11905,-16380,13040
13174,-11743,-16398,12299
13175,-11578,-16403,11496
13176,-11412,-16395,10633
13177,-11243,-16373,9717
13178,-11071,-16339,8752
13179,-10897,-16290,7742
13180,-10722,-16229,6694
13181,-10544,-16154,5610
13182,-10364,-16067,4499
13183,-10182,-15966,3365
13184,-9997,-15852,2213
13185,-9811,-15726,1051
13186,-9623,-15586,-117
13187,-9433,-15434,-1284
13188,-9240,-15270,-2445
13189,-9046,-15092,-3593
13190,-8851,-14903,-4723
13191,-8653,-14702,-5829
13192,-8453,-14489,-6906
13193,-8252,-14264,-7947
13194,-8049,-14027,-8948
13195,-7845,-13779,-9904
13196,-7639,-13520,-10810
13197,-7431,-13250,-11661
13198,-7222,-12969,-12452
13199,-7012,-12678,-13181
13200,-6800,-12376,-13842
13201,-6586,-12064,-14434
13202,-6371,-11743,-14952
13203,-6155,-11411,-15394
13204,-5938,-11071,-15758
13205,-5720,-10722,-16043
13206,-5500,-10364,-16245
13207,-5279,-9997,-16366
13208,-5058,-9623,-16403
13209,-4835,-9240,-16357
13210,-4611,-8851,-16229
13211,-4386,-8453,-16018
13212,-4161,-8049,-15726
13213,-3934,-7639,-15353
13214,-3707,-7222,-14903
13215,-3479,-6800,-14378
13216,-3250,-6371,-13779
13217,-3021,-5938,-13111
13218,-2791,-5500,-12376
13219,-2560,-5058,-11578
13220,-2329,-4611,-10722
13221,-2098,-4161,-9811
13222,-1866,-3707,-8851
13223,-1633,-3250,-7845
13224,-1401,-2791,-6800
13225,-1168,-2329,-5720
13226,-934,-1865,-4611
13227,-701,-1400,-3479
13228,-467,-934,-2329
13229,-234,-467,-1168
13230,0,0,0
13231,234,467,1168
13232,468,935,2329
13233,701,1401,3479
13234,934,1866,4611
13235,1168,2329,5720
13236,1401,2791,6800
13237,1634,3251,7845
13238,1866,3707,8851
13239,2098,4161,9811
13240,2329,4611,10722
13241,2561,5058,11579
13242,2791,5501,12376
13243,3021,5938,13111
13244,3250,6372,13779
13245,3479,6800,14378
13246,3707,7222,14903
13247,3935,7639,15353
13248,4161,8049,15726
13249,4387,8453,16018
13250,4611,8851,16229
13251,4835,9241,16358
13252,5058,9623,16404
13253,5280,9998,16366
13254,5500,10364,16246
13255,5720,10722,16043
13256,5938,11071,15759
13257,6156,11412,15394
13258,6372,11743,14952
13259,6586,12064,14434
13260,6800,12376,13842
13261,7012,12678,13181
13262,7223,12969,12453
13263,7432,13250,11661
13264,7639,13520,10810
13265,7845,13779,9905
13266,8050,14028,8949
13267,8253,14264,7948
13268,8453,14489,6906
13269,8653,14702,5829
13270,8851,14903,4723
13271,9047,15093,3593
13272,9241,15270,2445
13273,9433,15434,1284
13274,9623,15586,117
13275,9811,15726,-1051
13276,9998,15852,-2213
13277,10182,15966,-3365
13278,10364,16067,-4499
13279,10544,16154,-5610
13280,10722,16229,-6693
13281,10898,16291,-7742
13282,11071,16339,-8752
13283,11243,16374,-9717
13284,11412,16395,-10633
13285,11578,16404,-11495
13286,11743,16399,-12299
13287,11905,16380,-13040
13288,12064,16349,-13715
13289,12222,16304,-14321
13290,12376,16246,-14854
13291,12528,16174,-15312
13292,12678,16090,-15692
13293,12825,15992,-15992
13294,12969,15882,-16211
13295,13111,15759,-16348
13296,13250,15622,-16402
13297,13387,15473,-16373
13298,13520,15312,-16261
13299,13651,15138,-16066
13300,13780,14952,-15790
13301,13905,14754,-15434
13302,14028,14544,-15000
13303,14147,14321,-14489
13304,14264,14088,-13905
13305,14378,13843,-13250
13306,14489,13586,-12528
13307,14597,13319,-11743
13308,14702,13041,-10898
13309,14804,12752,-9997
13310,14903,12452,-9046
13311,15000,12143,-8049
13312,15093,11824,-7012
13313,15183,11495,-5938
13314,15270,11157,-4835
13315,15353,10810,-3707
13316,15434,10454,-2560
13317,15512,10090,-1401
13318,15586,9717,-234
13319,15658,9337,935
13320,15726,8949,2098
13321,15790,8553,3251
13322,15852,8151,4387
13323,15911,7742,5501
13324,15966,7327,6586
13325,16018,6906,7639
13326,16067,6479,8653
13327,16112,6047,9623
13328,16155,5611,10544
13329,16193,5169,11412
13330,16229,4723,12222
13331,16261,4274,12969
13332,16291,3821,13651
13333,16316,3365,14264
13334,16339,2906,14804
13335,16358,2445,15270
13336,16374,1982,15657
13337,16386,1517,15966
13338,16395,1051,16193
13339,16401,584,16339
13340,16403,117,16401
13341,16403,-350,16380
13342,16398,-817,16276
13343,16391,-1284,16090
13344,16380,-1749,15822
13345,16366,-2213,15473
13346,16349,-2675,15046
13347,16328,-3136,14544
13348,16304,-3593,13967
13349,16276,-4048,13319
13350,16246,-4499,12604
13351,16211,-4947,11824
13352,16174,-5390,10985
13353,16134,-5829,10090
13354,16090,-6264,9144
13355,16043,-6693,8151
13356,15992,-7117,7117
13357,15939,-7535,6047
13358,15882,-7947,4947
13359,15822,-8353,3821
13360,15759,-8752,2676
13361,15692,-9143,1517
13362,15622,-9528,351
13363,15550,-9905,-817
13364,15473,-10273,-1982
13365,15394,-10633,-3136
13366,15312,-10985,-4274
13367,15227,-11327,-5390
13368,15138,-11661,-6479
13369,15047,-11985,-7535
13370,14952,-12299,-8553
13371,14855,-12603,-9528
13372,14754,-12897,-10454
13373,14650,-13181,-11327
13374,14543,-13453,-12143
13375,14434,-13716,-12897
13376,14322,-13966,-13586
13377,14206,-14206,-14206
13378,14088,-14434,-14753
13379,13967,-14650,-15226
13380,13842,-14854,-15622
13381,13716,-15046,-15939
13382,13586,-15226,-16174
13383,13454,-15394,-16327
13384,13319,-15549,-16398
13385,13181,-15692,-16386
13386,13041,-15821,-16290
13387,12897,-15938,-16112
13388,12752,-16042,-15852
13389,12604,-16134,-15511
13390,12453,-16211,-15093
13391,12299,-16276,-14597
13392,12143,-16328,-14027
13393,11985,-16366,-13387
13394,11824,-16391,-12678
13395,11661,-16402,-11904
13396,11495,-16401,-11071
13397,11327,-16386,-10182
13398,11157,-16357,-9240
13399,10985,-16316,-8252
13400,10810,-16261,-7222
13401,10633,-16193,-6155
13402,10454,-16112,-5058
13403,10273,-16018,-3934
13404,10090,-15910,-2791
13405,9905,-15790,-1633
13406,9717,-15657,-467
13407,9528,-15512,701
13408,9337,-15353,1866
13409,9144,-15183,3021
13410,8949,-15000,4161
13411,8752,-14804,5280
13412,8553,-14597,6372
13413,8353,-14378,7431
13414,8151,-14147,8454
13415,7948,-13905,9433
13416,7742,-13651,10364
13417,7535,-13387,11243
13418,7327,-13111,12064
13419,7117,-12825,12825
13420,6906,-12528,13520
13421,6693,-12221,14147
13422,6479,-11905,14702
13423,6264,-11578,15183
13424,6047,-11243,15586
13425,5829,-10898,15911
13426,5610,-10544,16155
13427,5390,-10182,16316
13428,5169,-9811,16395
13429,4947,-9432,16391
13430,4723,-9046,16304
13431,4499,-8653,16134
13432,4274,-8252,15882
13433,4048,-7845,15549
13434,3821,-7431,15138
13435,3593,-7012,14650
13436,3365,-6586,14088
13437,3136,-6155,13454
13438,2906,-5720,12752
13439,2676,-5279,11985
13440,2445,-4835,11157
13441,2214,-4386,10273
13442,1982,-3934,9337
13443,1749,-3479,8353
13444,1517,-3021,7327
13445,1284,-2560,6264
13446,1051,-2097,5169
13447,818,-1633,4048
13448,584,-1168,2906
13449,351,-701,1750
13450,117,-234,584
13451,-117,234,-584
13452,-351,701,-1749
13453,-584,1168,-2906
13454,-817,1634,-4047
13455,-1051,2098,-5169
13456,-1284,2560,-6264
13457,-1517,3021,-7327
13458,-1749,3479,-8353
13459,-1981,3934,-9336
13460,-2213,4386,-10273
13461,-2445,4835,-11157
13462,-2676,5280,-11985
13463,-2906,5720,-12751
13464,-3136,6156,-13453
13465,-3365,6586,-14087
13466,-3593,7012,-14650
13467,-3821,7432,-15138
13468,-4047,7845,-15549
13469,-4274,8253,-15881
13470,-4499,8653,-16134
13471,-4723,9047,-16303
13472,-4946,9433,-16391
13473,-5169,9811,-16395
13474,-5390,10182,-16316
13475,-5610,10544,-16154
13476,-5829,10898,-15910
13477,-6047,11243,-15586
13478,-6264,11578,-15183
13479,-6479,11905,-14702
13480,-6693,12222,-14147
13481,-6906,12528,-13520
13482,-7117,12825,-12825
13483,-7327,13111,-12064
13484,-7535,13387,-11243
13485,-7742,13651,-10364
13486,-7947,13905,-9432
13487,-8151,14147,-8453
13488,-8353,14378,-7431
13489,-8553,14597,-6372
13490,-8752,14804,-5280
13491,-8948,15000,-4161
13492,-9144,15183,-3021
13493,-9336,15354,-1865
13494,-9528,15512,-701
13495,-9717,15658,467
13496,-9904,15791,1633
13497,-10090,15911,2791
13498,-10273,16018,3935
13499,-10454,16112,5058
13500,-10633,16193,6156
13501,-10810,16262,7222
13502,-10985,16316,8252
13503,-11157,16358,9240
13504,-11327,16386,10182
13505,-11495,16401,11071
13506,-11661,16403,11905
13507,-11824,16391,12678
13508,-11985,16366,13387
13509,-12143,16328,14027
13510,-12299,16276,14597
13511,-12452,16211,15093
13512,-12603,16134,15512
13513,-12751,16043,15852
13514,-12897,15939,16112
13515,-13040,15822,16290
13516,-13181,15692,16386
13517,-13319,15549,16398
13518,-13454,15394,16328
13519,-13586,15227,16174
13520,-13716,15047,15939
13521,-13842,14855,15622
13522,-13966,14650,15227
13523,-14088,14434,14754
13524,-14206,14206,14206
13525,-14321,13967,13586
13526,-14434,13716,12898
13527,-14543,13454,12143
13528,-14650,13181,11328
13529,-14754,12898,10454
13530,-14854,12604,9528
13531,-14952,12299,8554
13532,-15046,11985,7535
13533,-15138,11661,6479
13534,-15227,11328,5390
13535,-15312,10985,4274
13536,-15394,10633,3136
13537,-15473,10273,1982
13538,-15549,9905,818
13539,-15622,9528,-350
13540,-15692,9144,-1517
13541,-15758,8752,-2675
13542,-15821,8353,-3821
13543,-15882,7947,-4946
13544,-15939,7536,-6047
13545,-15992,7117,-7117
13546,-16043,6694,-8151
13547,-16089,6264,-9143
13548,-16134,5829,-10090
13549,-16174,5390,-10985
13550,-16211,4947,-11824
13551,-16245,4499,-12603
13552,-16276,4048,-13319
13553,-16303,3593,-13966
13554,-16328,3136,-14543
13555,-16348,2676,-15046
13556,-16366,2213,-15473
13557,-16380,1750,-15822
13558,-16391,1284,-16090
13559,-16398,818,-16276
13560,-16403,351,-16380
13561,-16403,-117,-16401
13562,-16401,-584,-16339
13563,-16395,-1051,-16193
13564,-16386,-1517,-15966
13565,-16373,-1981,-15657
13566,-16357,-2445,-15269
13567,-16338,-2906,-14804
13568,-16316,-3365,-14264
13569,-16290,-3821,-13651
13570,-16261,-4274,-12969
13571,-16229,-4723,-12221
13572,-16193,-5169,-11412
13573,-16154,-5610,-10544
13574,-16112,-6047,-9623
13575,-16066,-6479,-8653
13576,-16018,-6906,-7639
13577,-15966,-7327,-6586
13578,-15910,-7742,-5500
13579,-15852,-8151,-4386
13580,-15790,-8553,-3250
13581,-15726,-8948,-2097
13582,-15657,-9337,-934
13583,-15586,-9717,234
13584,-15511,-10090,1401
13585,-15434,-10454,2560
13586,-15353,-10810,3707
13587,-15269,-11157,4835
13588,-15183,-11495,5939
13589,-15092,-11824,7012
13590,-14999,-12143,8049
13591,-14903,-12452,9046
13592,-14804,-12752,9997
13593,-14702,-13040,10898
13594,-14597,-13319,11743
13595,-14489,-13586,12528
13596,-14378,-13842,13250
13597,-14264,-14087,13905
13598,-14147,-14321,14489
13599,-14027,-14543,15000
13600,-13905,-14754,15434
13601,-13779,-14952,15791
13602,-13651,-15138,16067
13603,-13520,-15312,16262
13604,-13386,-15473,16374
13605,-13250,-15622,16403
13606,-13111,-15758,16348
13607,-12969,-15881,16211
13608,-12825,-15992,15992
13609,-12678,-16089,15692
13610,-12528,-16174,15312
13611,-12376,-16245,14855
13612,-12221,-16304,14321
13613,-12064,-16348,13716
13614,-11904,-16380,13041
13615,-11742,-16398,12299
13616,-11578,-16403,11496
13617,-11412,-16395,10633
13618,-11243,-16373,9717
13619,-11071,-16339,8752
13620,-10898,-16290,7742
13621,-10722,-16229,6694
13622,-10544,-16154,5610
13623,-10364,-16067,4499
13624,-10181,-15966,3365
13625,-9997,-15852,2214
13626,-9811,-15726,1051
13627,-9623,-15586,-117
13628,-9432,-15434,-1284
13629,-9240,-15270,-2445
13630,-9046,-15092,-3593
13631,-8850,-14903,-4723
13632,-8653,-14702,-5829
13633,-8453,-14489,-6906
13634,-8252,-14264,-7947
13635,-8049,-14027,-8949
13636,-7845,-13779,-9905
13637,-7639,-13520,-10810
13638,-7431,-13250,-11661
13639,-7222,-12969,-12452
13640,-7012,-12678,-13181
13641,-6800,-12376,-13842
13642,-6586,-12064,-14434
13643,-6372,-11742,-14952
13644,-6155,-11411,-15394
13645,-5938,-11071,-15758
13646,-5720,-10722,-16043
13647,-5500,-10364,-16245
13648,-5279,-9997,-16366
13649,-5058,-9623,-16403
13650,-4835,-9240,-16358
13651,-4611,-8850,-16229
13652,-4386,-8453,-16018
13653,-4161,-8049,-15725
13654,-3934,-7639,-15353
13655,-3707,-7222,-14903
13656,-3479,-6800,-14378
13657,-3250,-6372,-13779
13658,-3021,-5938,-13111
13659,-2791,-5500,-12376
13660,-2560,-5058,-11578
13661,-2329,-4611,-10722
13662,-2097,-4161,-9811
13663,-1866,-3707,-8851
13664,-1633,-3250,-7845
13665,-1400,-2791,-6800
13666,-1167,-2329,-5720
13667,-934,-1866,-4611
13668,-701,-1400,-3479
13669,-467,-934,-2329
13670,-234,-467,-1168
13671,0,0,0
13672,234,467,1168
13673,467,935,2329
13674,701,1401,3479
13675,934,1866,4611
13676,1168,2329,5720
13677,1401,2791,6800
13678,1634,3250,7845
13679,1866,3707,8851
13680,2098,4161,9811
13681,2329,4611,10722
13682,2560,5058,11579
13683,2791,5500,12376
13684,3021,5938,13111
13685,3251,6372,13780
13686,3479,6800,14378
13687,3707,7222,14903
13688,3935,7639,15354
13689,4161,8049,15726
13690,4386,8454,16018
13691,4611,8851,16229
13692,4835,9240,16358
13693,5058,9623,16404
13694,5280,9998,16366
13695,5500,10364,16246
13696,5720,10722,16043
13697,5939,11072,15759
13698,6156,11412,15394
13699,6372,11743,14952
13700,6586,12064,14434
13701,6800,12376,13843
13702,7012,12678,13181
13703,7223,12969,12452
13704,7431,13250,11661
13705,7639,13520,10810
13706,7845,13780,9905
13707,8049,14027,8949
13708,8252,14264,7948
13709,8453,14489,6906
13710,8653,14702,5829
13711,8851,14903,4723
13712,9046,15093,3593
13713,9240,15270,2445
13714,9433,15434,1284
13715,9623,15586,117
13716,9811,15726,-1051
13717,9997,15852,-2213
13718,10182,15966,-3365
13719,10364,16067,-4499
13720,10544,16155,-5610
13721,10722,16229,-6693
13722,10898,16290,-7742
13723,11072,16339,-8752
13724,11243,16374,-9717
13725,11412,16395,-10633
13726,11579,16404,-11495
13727,11743,16399,-12299
13728,11905,16380,-13040
13729,12064,16348,-13715
13730,12221,16304,-14321
13731,12376,16246,-14854
13732,12528,16174,-15312
13733,12678,16090,-15692
13734,12825,15992,-15992
13735,12969,15882,-16211
13736,13111,15759,-16348
13737,13250,15622,-16402
13738,13387,15474,-16373
13739,13520,15312,-16261
13740,13651,15138,-16066
13741,13779,14952,-15790
13742,13905,14754,-15434
13743,14028,14544,-15000
13744,14147,14321,-14489
13745,14264,14088,-13905
13746,14378,13843,-13250
13747,14489,13586,-12528
13748,14597,13319,-11743
13749,14702,13041,-10898
13750,14804,12752,-9997
13751,14904,12453,-9046
13752,15000,12143,-8049
13753,15093,11824,-7012
13754,15183,11495,-5938
13755,15270,11157,-4835
13756,15354,10810,-3707
13757,15434,10454,-2560
13758,15512,10090,-1401
13759,15586,9717,-234
13760,15658,9337,934
13761,15726,8949,2098
13762,15791,8554,3250
13763,15852,8151,4387
13764,15911,7742,5501
13765,15966,7327,6587
13766,16018,6906,7639
13767,16067,6479,8653
13768,16112,6047,9623
13769,16155,5610,10544
13770,16193,5169,11412
13771,16229,4723,12221
13772,16262,4274,12969
13773,16291,3821,13651
13774,16316,3365,14264
13775,16339,2906,14804
13776,16358,2445,15270
13777,16374,1982,15657
13778,16386,1517,15966
13779,16395,1051,16193
13780,16401,584,16339
13781,16403,117,16401
13782,16403,-351,16380
13783,16398,-817,16276
13784,16391,-1284,16090
13785,16380,-1749,15822
13786,16366,-2213,15473
13787,16349,-2675,15046
13788,16328,-3135,14544
13789,16304,-3593,13967
13790,16276,-4047,13319
13791,16245,-4499,12603
13792,16211,-4946,11824
13793,16174,-5390,10985
13794,16134,-5829,10090
13795,16090,-6264,9144
13796,16043,-6693,8151
13797,15992,-7117,7117
13798,15939,-7535,6047
13799,15882,-7947,4947
13800,15822,-8353,3821
13801,15758,-8752,2676
13802,15692,-9144,1517
13803,15622,-9528,351
13804,15549,-9905,-818
13805,15473,-10273,-1982
13806,15394,-10633,-3136
13807,15312,-10985,-4274
13808,15227,-11327,-5390
13809,15138,-11661,-6479
13810,15046,-11985,-7535
13811,14952,-12299,-8553
13812,14855,-12603,-9528
13813,14754,-12897,-10454
13814,14650,-13181,-11327
13815,14543,-13454,-12143
13816,14434,-13716,-12897
13817,14321,-13966,-13586
13818,14206,-14206,-14206
13819,14088,-14434,-14754
13820,13966,-14650,-15227
13821,13842,-14854,-15622
13822,13716,-15046,-15938
13823,13586,-15227,-16174
13824,13454,-15394,-16328
13825,13319,-15549,-16398
13826,13181,-15692,-16386
13827,13040,-15821,-16290
13828,12897,-15938,-16112
13829,12752,-16043,-15852
13830,12604,-16133,-15512
13831,12452,-16211,-15092
13832,12299,-16276,-14597
13833,12143,-16327,-14027
13834,11985,-16366,-13387
13835,11824,-16391,-12678
13836,11661,-16403,-11905
13837,11495,-16401,-11071
13838,11327,-16386,-10181
13839,11157,-16358,-9240
13840,10985,-16316,-8252
13841,10810,-16261,-7222
13842,10633,-16193,-6156
13843,10454,-16112,-5058
13844,10273,-16018,-3934
13845,10090,-15911,-2791
13846,9905,-15790,-1633
13847,9717,-15657,-467
13848,9528,-15511,701
13849,9337,-15353,1866
13850,9144,-15182,3021
13851,8949,-14999,4161
13852,8752,-14804,5280
13853,8554,-14597,6372
13854,8353,-14378,7432
13855,8151,-14147,8453
13856,7948,-13905,9433
13857,7742,-13651,10364
13858,7535,-13387,11243
13859,7327,-13111,12065
13860,7117,-12825,12825
13861,6906,-12528,13520
13862,6694,-12221,14147
13863,6479,-11905,14702
13864,6264,-11578,15183
13865,6047,-11242,15586
13866,5830,-10898,15911
13867,5611,-10544,16154
13868,5390,-10181,16316
13869,5169,-9811,16395
13870,4947,-9433,16391
13871,4723,-9046,16304
13872,4499,-8653,16134
13873,4274,-8252,15882
13874,4048,-7845,15549
13875,3821,-7431,15138
13876,3593,-7012,14650
13877,3365,-6586,14088
13878,3136,-6156,13454
13879,2906,-5720,12752
13880,2676,-5279,11985
13881,2445,-4835,11157
13882,2214,-4386,10273
13883,1982,-3934,9337
13884,1750,-3479,8353
13885,1517,-3021,7327
13886,1284,-2560,6264
13887,1051,-2097,5169
13888,818,-1633,4048
13889,584,-1167,2906
13890,351,-701,1749
13891,117,-233,584
13892,-117,234,-584
13893,-351,701,-1749
13894,-584,1168,-2906
13895,-818,1634,-4048
13896,-1051,2098,-5169
13897,-1284,2561,-6264
13898,-1517,3021,-7327
13899,-1749,3479,-8353
13900,-1982,3934,-9336
13901,-2213,4387,-10273
13902,-2445,4835,-11157
13903,-2675,5280,-11985
13904,-2906,5720,-12751
13905,-3135,6156,-13454
13906,-3365,6586,-14088
13907,-3593,7012,-14650
13908,-3821,7432,-15138
13909,-4048,7845,-15549
13910,-4274,8252,-15882
13911,-4499,8653,-16133
13912,-4723,9047,-16304
13913,-4947,9433,-16391
13914,-5169,9811,-16395
13915,-5390,10182,-16316
13916,-5610,10544,-16154
13917,-5829,10898,-15910
13918,-6047,11243,-15586
13919,-6264,11579,-15183
13920,-6479,11905,-14702
13921,-6693,12221,-14147
13922,-6906,12528,-13520
13923,-7117,12825,-12825
13924,-7327,13111,-12064
13925,-7535,13387,-11243
13926,-7742,13651,-10364
13927,-7947,13905,-9433
13928,-8151,14147,-8453
13929,-8353,14378,-7431
13930,-8553,14597,-6371
13931,-8752,14805,-5279
13932,-8948,15000,-4161
13933,-9144,15183,-3021
13934,-9336,15353,-1865
13935,-9528,15512,-701
13936,-9717,15658,468
13937,-9905,15791,1634
13938,-10090,15911,2791
13939,-10273,16018,3935
13940,-10454,16112,5058
13941,-10633,16193,6156
13942,-10810,16261,7222
13943,-10985,16316,8253
13944,-11157,16358,9241
13945,-11327,16386,10182
13946,-11495,16401,11071
13947,-11661,16403,11905
13948,-11824,16391,12678
13949,-11985,16366,13387
13950,-12143,16328,14027
13951,-12299,16276,14597
13952,-12452,16211,15093
13953,-12603,16134,15512
13954,-12751,16043,15852
13955,-12897,15939,16112
13956,-13040,15822,16290
13957,-13181,15692,16386
13958,-13319,15550,16399
13959,-13453,15394,16328
13960,-13586,15227,16174
13961,-13716,15047,15939
13962,-13842,14855,15622
13963,-13966,14650,15227
13964,-14087,14434,14754
13965,-14206,14206,14206
13966,-14321,13966,13586
13967,-14434,13716,12898
13968,-14543,13454,12143
13969,-14650,13181,11328
13970,-14754,12898,10454
13971,-14854,12604,9528
13972,-14952,12299,8554
13973,-15046,11985,7535
13974,-15138,11661,6479
13975,-15227,11328,5390
13976,-15312,10985,4274
