,M=100Hz,M=200Hz,M=500Hz
579,15138,-11661,-6479
580,15046,-11985,-7535
581,14952,-12299,-8553
582,14855,-12603,-9528
583,14754,-12897,-10454
584,14650,-13181,-11327
585,14543,-13453,-12143
586,14434,-13716,-12897
587,14321,-13966,-13586
588,14206,-14206,-14206
589,14088,-14434,-14753
590,13966,-14650,-15227
591,13843,-14854,-15622
592,13716,-15046,-15939
593,13586,-15227,-16174
594,13454,-15394,-16328
595,13319,-15549,-16398
596,13181,-15692,-16386
597,13040,-15822,-16290
598,12898,-15939,-16112
599,12752,-16043,-15852
600,12603,-16134,-15511
601,12452,-16211,-15093
602,12299,-16276,-14597
603,12143,-16328,-14027
604,11985,-16366,-13387
605,11824,-16391,-12678
606,11661,-16403,-11905
607,11496,-16401,-11071
608,11327,-16386,-10181
609,11157,-16357,-9240
610,10985,-16316,-8252
611,10810,-16261,-7222
612,10633,-16193,-6156
613,10454,-16112,-5058
614,10273,-16018,-3934
615,10090,-15911,-2791
616,9905,-15790,-1633
617,9717,-15657,-467
618,9528,-15511,701
619,9337,-15353,1866
620,9144,-15182,3021
621,8949,-15000,4161
622,8752,-14804,5280
623,8553,-14597,6372
624,8353,-14378,7432
625,8151,-14147,8454
626,7948,-13905,9433
627,7742,-13651,10364
628,7535,-13386,11243
629,7327,-13111,12065
630,7117,-12825,12825
631,6906,-12528,13520
632,6694,-12221,14147
633,6479,-11905,14702
634,6264,-11578,15183
635,6047,-11242,15586
636,5829,-10897,15911
637,5610,-10544,16155
638,5390,-10181,16316
639,5169,-9811,16395
640,4947,-9433,16391
641,4723,-9046,16304
642,4499,-8653,16134
643,4274,-8252,15882
644,4048,-7845,15550
645,3821,-7431,15138
646,3593,-7012,14650
647,3365,-6586,14088
648,3136,-6155,13454
649,2906,-5720,12752
650,2676,-5280,11985
651,2445,-4835,11157
652,2214,-4386,10273
653,1982,-3934,9337
654,1750,-3479,8353
655,1517,-3021,7327
656,1284,-2560,6264
657,1051,-2097,5169
658,818,-1633,4048
659,584,-1168,2906
660,351,-701,1749
661,117,-234,584
662,-117,234,-584
663,-351,701,-1749
664,-584,1168,-2906
665,-817,1633,-4047
666,-1051,2098,-5169
667,-1284,2561,-6264
668,-1517,3021,-7327
669,-1749,3479,-8353
670,-1981,3935,-9336
671,-2213,4386,-10273
672,-2445,4835,-11157
673,-2675,5280,-11985
674,-2906,5720,-12752
675,-3135,6156,-13453
676,-3364,6587,-14087
677,-3593,7012,-14650
678,-3821,7431,-15138
679,-4047,7845,-15549
680,-4274,8253,-15882
681,-4499,8653,-16134
682,-4723,9046,-16304
683,-4947,9433,-16391
684,-5169,9811,-16395
685,-5390,10182,-16316
686,-5610,10544,-16154
687,-5829,10898,-15911
688,-6047,11243,-15586
689,-6264,11578,-15183
690,-6479,11905,-14702
691,-6693,12222,-14147
692,-6906,12528,-13520
693,-7117,12825,-12825
694,-7327,13111,-12064
695,-7535,13387,-11242
696,-7742,13651,-10364
697,-7947,13905,-9433
698,-8151,14147,-8453
699,-8353,14378,-7431
700,-8553,14597,-6372
701,-8752,14805,-5280
702,-8949,15000,-4161
703,-9143,15183,-3021
704,-9337,15353,-1866
705,-9528,15512,-701
706,-9717,15658,468
707,-9904,15791,1633
708,-10090,15911,2791
709,-10273,16018,3934
710,-10454,16112,5058
711,-10633,16193,6156
712,-10810,16262,7223
713,-10985,16316,8253
714,-11157,16358,9241
715,-11327,16386,10182
716,-11495,16401,11072
717,-11661,16403,11905
718,-11824,16391,12678
719,-11985,16366,13387
720,-12143,16328,14027
721,-12299,16276,14597
722,-12452,16212,15093
723,-12603,16134,15512
724,-12751,16043,15852
725,-12897,15939,16112
726,-13040,15822,16291
727,-13181,15692,16386
728,-13318,15550,16399
729,-13454,15394,16328
730,-13586,15227,16174
731,-13715,15046,15939
732,-13842,14854,15622
733,-13966,14650,15227
734,-14088,14434,14754
735,-14206,14206,14206
736,-14321,13967,13586
737,-14434,13716,12898
738,-14543,13454,12143
739,-14650,13181,11328
740,-14754,12897,10454
741,-14854,12603,9528
742,-14952,12299,8554
743,-15046,11985,7535
744,-15138,11661,6479
745,-15227,11327,5390
746,-15312,10985,4274
747,-15394,10633,3136
748,-15473,10273,1982
749,-15549,9905,818
750,-15622,9528,-350
751,-15692,9144,-1517
752,-15758,8752,-2675
753,-15821,8353,-3821
754,-15882,7947,-4946
755,-15938,7535,-6047
756,-15992,7117,-7117
757,-16042,6693,-8151
758,-16090,6264,-9144
759,-16134,5830,-10090
760,-16174,5390,-10985
761,-16211,4947,-11824
762,-16245,4499,-12603
763,-16276,4048,-13318
764,-16304,3593,-13966
765,-16328,3136,-14543
766,-16348,2676,-15046
767,-16366,2214,-15473
768,-16380,1750,-15821
769,-16391,1284,-16089
770,-16398,818,-16276
771,-16403,351,-16380
772,-16403,-117,-16401
773,-16401,-584,-16339
774,-16395,-1051,-16193
775,-16386,-1517,-15966
776,-16373,-1982,-15657
777,-16358,-2445,-15269
778,-16339,-2906,-14804
779,-16316,-3364,-14264
780,-16290,-3821,-13651
781,-16261,-4274,-12969
782,-16229,-4723,-12221
783,-16193,-5169,-11411
784,-16154,-5610,-10544
785,-16112,-6047,-9623
786,-16066,-6479,-8653
787,-16018,-6906,-7639
788,-15966,-7327,-6586
789,-15910,-7742,-5500
790,-15852,-8151,-4386
791,-15790,-8553,-3250
792,-15725,-8949,-2098
793,-15657,-9336,-934
794,-15586,-9717,234
795,-15511,-10090,1401
796,-15434,-10454,2561
797,-15353,-10810,3707
798,-15269,-11157,4835
799,-15182,-11495,5938
800,-15092,-11824,7012
801,-15000,-12143,8050
802,-14903,-12452,9047
803,-14804,-12752,9998
804,-14702,-13040,10898
805,-14597,-13318,11743
806,-14489,-13586,12528
807,-14378,-13842,13250
808,-14264,-14087,13905
809,-14147,-14321,14489
810,-14027,-14543,15000
811,-13905,-14754,15434
812,-13779,-14952,15790
813,-13651,-15138,16067
814,-13520,-15312,16261
815,-13386,-15473,16373
816,-13250,-15622,16403
817,-13111,-15758,16349
818,-12969,-15882,16212
819,-12825,-15992,15992
820,-12678,-16089,15692
821,-12528,-16174,15312
822,-12376,-16245,14855
823,-12221,-16303,14321
824,-12064,-16348,13716
825,-11905,-16380,13040
826,-11743,-16398,12299
827,-11578,-16403,11495
828,-11411,-16395,10633
829,-11243,-16373,9717
830,-11071,-16338,8752
831,-10898,-16290,7742
832,-10722,-16229,6694
833,-10544,-16154,5610
834,-10364,-16066,4499
835,-10181,-15966,3365
836,-9997,-15852,2214
837,-9811,-15726,1051
838,-9623,-15586,-117
839,-9433,-15434,-1284
840,-9240,-15270,-2445
841,-9046,-15092,-3593
842,-8851,-14903,-4723
843,-8653,-14702,-5829
844,-8453,-14489,-6906
845,-8252,-14264,-7947
846,-8049,-14027,-8949
847,-7845,-13779,-9904
848,-7639,-13520,-10810
849,-7431,-13250,-11661
850,-7222,-12969,-12452
851,-7012,-12678,-13181
852,-6800,-12376,-13842
853,-6586,-12064,-14434
854,-6371,-11743,-14952
855,-6156,-11411,-15394
856,-5938,-11071,-15758
857,-5720,-10722,-16042
858,-5500,-10364,-16245
859,-5280,-9997,-16366
860,-5058,-9623,-16403
861,-4835,-9240,-16357
862,-4611,-8850,-16229
863,-4386,-8453,-16018
864,-4161,-8049,-15725
865,-3934,-7639,-15353
866,-3707,-7222,-14903
867,-3479,-6800,-14378
868,-3250,-6371,-13779
869,-3021,-5938,-13111
870,-2791,-5500,-12376
871,-2560,-5058,-11578
872,-2329,-4611,-10722
873,-2098,-4161,-9811
874,-1865,-3707,-8851
875,-1633,-3250,-7845
876,-1401,-2791,-6800
877,-1167,-2329,-5720
878,-934,-1866,-4611
879,-701,-1400,-3479
880,-467,-934,-2329
881,-233,-467,-1167
882,0,0,0
883,234,468,1168
884,468,934,2329
885,701,1401,3479
886,935,1866,4611
887,1168,2329,5720
888,1401,2791,6800
889,1633,3250,7845
890,1866,3707,8851
891,2098,4161,9811
892,2329,4611,10722
893,2560,5058,11578
894,2791,5501,12376
895,3021,5939,13111
896,3251,6372,13779
897,3479,6800,14378
898,3707,7223,14903
899,3935,7639,15353
900,4161,8049,15726
901,4387,8454,16018
902,4611,8851,16229
903,4835,9241,16358
904,5058,9623,16403
905,5280,9997,16366
906,5501,10364,16246
907,5720,10722,16043
908,5938,11071,15758
909,6156,11412,15394
910,6372,11743,14952
911,6587,12064,14434
912,6800,12376,13843
913,7012,12678,13181
914,7223,12969,12452
915,7431,13250,11661
916,7639,13520,10810
917,7845,13779,9905
918,8049,14027,8949
919,8253,14264,7947
920,8454,14489,6906
921,8653,14702,5830
922,8851,14903,4723
923,9047,15093,3593
924,9240,15270,2445
925,9433,15434,1284
926,9623,15586,117
927,9811,15726,-1051
928,9997,15852,-2213
929,10182,15966,-3365
930,10364,16067,-4499
931,10544,16155,-5610
932,10722,16229,-6693
933,10898,16291,-7742
934,11071,16339,-8752
935,11243,16374,-9717
936,11412,16395,-10633
937,11578,16404,-11495
938,11743,16399,-12299
939,11905,16380,-13040
940,12065,16349,-13715
941,12222,16304,-14321
942,12376,16245,-14854
943,12528,16174,-15312
944,12678,16090,-15692
945,12825,15992,-15992
946,12969,15882,-16211
947,13111,15758,-16348
